	full_text	actual	predicted
75	"#Video ¿Cuántos votos necesitaron Duque y Petro para ir a segunda vuelta en 2018?

https://t.co/OhVfQMi6TU https://t.co/NmDDU27LFL"	positive	negative
77	Uribe y sus aliados siembran zozobra para suspender elecciones en colombia ???? https://t.co/wPM7Wft8bo	negative	positive
84	@CCSILVA86 @jlreales @Lolita_Celedon @petrogustavo Quien llena, llena antes, durante o despues del festival, eso no es nuevo para la campaña de Petro quien vienes desde las elecciones pasadas llenando plazas en toda Colombia.	positive	negative
86	Colombia depende de renuncia/destitución de Alexander Vega de @Registraduria, y de auditoría imparcial que contrate @CNE_COLOMBIA (que lo dudo), fraude ocurrido en pasadas elecciones es de registrarlo en historia de Colombia, estas 2 instituciones dejan mucho que pensar.	negative	positive
87	@lafm tremendo informe de la posible corrupción en el fraude del pasado 13 de marzo a la Colombia humana le asignaron 24 mil jurados que si votaron 2 veces cada uno significaría el robo más grande en Colombia, y el registrador intento quitar la huella y la firma de las elecciones	positive	negative
90	Cómo que regañan? Ésto es inaudito, cómo no lo suspenden de su cargo? Yo no sé si es un inepto o un tramposo o las dos? No puede tener ese cargo para las presidenciales!!!!! https://t.co/hSGaqSukpR	negative	positive
98	"@supershadai @Registraduria Quien o que institución en Colombia atiende los reclamos al fraude electoral?
Porque no suspender a al registrador que ya la defeco en las elecciones de senado y camara.
Hay una desconfianza general en cuanto a las presidenciales.
Están provocando una respuesta violenta."	negative	positive
99	Colombia no se merece otras elecciones con este registrador. https://t.co/rO1GcxxYzi	negative	positive
111	"El candidato a la Presidencia de Colombia Gustavo Petro promete restablecer las relaciones con Venezuela si gana las elecciones y llega a la Presidencia.

https://t.co/XM8QX8IaLk"	positive	negative
117	@Nata_Salud @Sandrag69 @AndresMejiaV ¡Hola Natalia! Te invitamos a descubrir tu #MatchPresidencial aquí: https://t.co/0E1tZKypTK	positive	negative
119	@lcvelez El mayor riesgo en las elecciones está en la misma  @Registraduria el @CNE_COLOMBIA los jurados, los supuestos delegados internacionales  que trajeron a favor de ellos, y de remate la misma Registraduria descarada haciéndole campaña a los que ofrecen el supuesto cambio ??????? https://t.co/Xghmj77P1S	negative	positive
122	"#VIDEO Rodolfo Hernández: ""Fajardo como que ya pasó a la historia"". https://t.co/pSC4N4Q5ZX https://t.co/3RaV9yqwaT"	positive	negative
125	Álvaro Uribe publica video de bus quemado y afirma que esas son las “enseñanzas de Petro y Santos” https://t.co/elo1Lwwcgo	negative	positive
128	https://t.co/FxFKHi951T. @IvanDuque no respeta la constitución ni la ley, esto favorece mas campaña de @petrogustavo.	positive	negative
129	@ElDelMedallo @teffygiraldo06 Y va subiendo la tasa de asesinatos en Colombia, con el nuevo terrorismo pre elecciones. ¡NO SON BUENOS DÍAS!	negative	positive
132	@lcvelez El mayor riesgo en las elecciones está en la misma  @Registraduria el @CNE_COLOMBIA los jurados, los supuestos delegados internacionales  que trajeron a favor de ellos, y de remate la misma Registraduria descarada haciéndole campaña a los que ofrecen el supuesto cambio ??????? https://t.co/Xghmj77P1S	negative	positive
135	"Modelo de Tutela que busca dar ""Tranquilidad"" Para las Elecciones Presidenciales del #29Mayo 2022 en #Colombia 
https://t.co/Mg9cirfTIo"	positive	negative
137	#QuienRespondePor la afirmación de Sanchez Cristo de que Francia es la Vicepresidenta de Colombia ?. Hasta donde se las elecciones son el próximo 29. Que no te traicione tal facilmente el subconsciente	negative	positive
141	Colombia | Petro anuncia que si gana restablecerá las relaciones diplomáticas y consulares con Venezuela @InfoNodal https://t.co/voHsTypdi3	positive	negative
144	¡Es indignante lo que ocurre en Colombia! Estamos ante un fraude electoral y nuestro registrador sigue en el cargo. #ElRiesgoEs no repetir las elecciones y tener un Congreso ilegítimo. https://t.co/lxMRgs9kPo	negative	positive
145	"Asesinado militante campesino del Pacto Histórico en Colombia

Pese a aproximarse las elecciones presidenciales en Colombia, la violencia sigue en aumento y está vez acabó con la vida de un militante campesino del Pacto Histórico

#JuventudDeportivaDeOro
https://t.co/ld4jfHeNCk https://t.co/Z75KVwQkH3"	negative	positive
147	Se nos robaran las elecciones en Colombia.	negative	positive
148	"La semana que pasó en Colombia estuvo marcada por la violencia. No es un momento cualquiera: faltan apenas tres semanas para las elecciones en las que Gustavo Petro puede consagrarse como presidente.

@Marco_Teruggi te lo cuenta en ??#CrisisEnElAire ??

https://t.co/HZK4j0f8St https://t.co/eAQZ5wsOHH"	negative	positive
150	@RevistaSemana Una pregunta seria, cada vez que hagamos elecciones en Colombia vamos a vivir este psicoterror de una parranda de bandoleros y delincuentes tratando de tomar el poder y terminar de joder  Colombia ?	negative	positive
153	1) COLOMBIA ELECCIONES 2022 ¿PUEDE HABER FRAUDE? 2) LA EXTRADICIÓN A NYC... https://t.co/FITOBhoZ2z via @YouTube	negative	positive
155	Alertan que miles de jurados de votación están inhabilitados para estar en las elecciones a Presidente. La idoneidad de esos delincuentes no existe, toca inhabilitarlos y anular las mesas donde estuvieron y que se evidenció el fraude. ?@PGN_COL?  https://t.co/UcAISdFd05	negative	positive
159	Procuraduría alerta que 2.925 jurados de votación están inhabilitados para elecciones Colombia via @ElColombiano https://t.co/lCdwAtuKoM	negative	positive
163	"""Lo que está viviendo Latinoamérica, cortesías de los procesos del Foro de Sao Paulo, se va poniendo realmente delicado. Hay que estar pendiente de lo que sucede en Chile y Perú, previo a las elecciones de Colombia."" @Noelleal"	positive	negative
164	Esto está increíble. Saca la conversación de los personalismos y pone el debate sobre las ideas y la afinidad ideológica, gente. Entrénle a este match político de @fundacionFESCOL. Espectacular @Saruy ???????????????? https://t.co/0tyZdteu0Z	negative	positive
167	@PGN_COL S.O.S. Colombia no podemos permitir que nos roben las elecciones. Viva @PalomaValenciaL gran patriota https://t.co/N9ro2Fy5fF	positive	negative
170	@LaNocheNTN24 @LuisGPerezCasas @CGurisattiNTN24 Bla bla bla … nos van a robar las elecciones de mayo . Ojo Colombia ???? no estoy de acuerdo con el fallo. No hay justicia	negative	positive
171	"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/FiJfeEuXCa"	positive	negative
173	En la era duque una era de violencia terrible su favoravilidad está en un 17% Q se reflejará este 29 de mayo creo que serán las elecciones más votadas de la historia de Colombia según lo que escucho votarán  ? personas que jamás en su vida an votado y creo Q será por el cambio	negative	positive
177	"#Colombia #Petro anuncia que reanudará las relaciones con Venezuela. Colombianos si queréis que el salario mínimo de Colombia baje a los 2 dólares al mes como en Venezuela, por debajo del umbral de pobreza (1,75 dólares/día) vuestro candidato es #Petro.
https://t.co/LpgzfWPvN7"	negative	positive
182	"#ColombiaMiElección Bajo el lema: “¡Liberemos a Colombia de las maquinarias y la corrupción!”, la aspirante a la presidencia, Ingrid Betancourt, presentó las líneas estratégicas del plan de gobierno.

https://t.co/j8H8rcwrmW"	positive	negative
186	"@petrogustavo #pactopicota nos más terrorismo Gustavo! no más asesinatos están acabando con Colombia, no sigan amenazando a las personas por el voto.
Las elecciones se ganan con propuestas reales, no con sangre."	negative	positive
190	?????? y se les llena la boca diciendo ...lleno total. Así viven, de fantasías! #fico #FueraPetro #fueraextremaizquierda  #petro #Colombia #Elecciones https://t.co/La0TI0hmqg	negative	positive
194	A 23 días de elecciones el Registrador Nacional un corrupto pegado y atornillado al poder, con este tipo que Colombia desconfía es seguro que nos van a robar las elecciones @Registraduria @CNE_COLOMBIA @moecolombia @IvanDuque presidente líbrenos de esta plaga la @PGN_COL no pudo	negative	positive
204	"#QuienRespondePor la plata que regalaron en contratos escudándose en ""beneficiar a la Colombia profunda"" durante las elecciones? La misma Colombia a la que @karenabudi dejó sin conectividad. Quién responde por los 70 mil millones? No olvidemos nunca esta cifra."	negative	positive
205	"¿Enserio?, Es que en Colombia no hay democracia ahora no puede un conservador apoyar a @petrogustavo ¿o que pasa?
https://t.co/ZCVgxM4Kti"	negative	positive
206	"@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Así es.
Es lo correcto.
Hacer bien las elecciones.
Esa es democracia."	positive	negative
209	@PGN_COL @RedMasNoticias @NoticiasCaracol @NoticiasRCN @elespectador @ElNuevoSiglo @AtlanticoEmi @larepublica_co @elheraldoco @RevistaSemana @BluRadioCo Y el Registrador sigue ahí tan campante???? Y las elecciones legislativas ?? Ay mucha evidencia y no pasa nada @PNG_COL, es una vergüenza una burla la justicia en Colombia es un ??????????????	negative	positive
210	@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Deberían hacer traslados de los REGISTRADORES  REGIONALES LOCALES . Evitar que se queden en los mismos sitios de las elecciones para congreso y consulta.	positive	negative
212	La cuenta regresiva para las elecciones presidenciales de Colombia se encuentra en su recta final, y el candidato que cuenta de acuerdo a la encuestas con mayor intención de votos es Gustavo Petro #7May https://t.co/JVyQw3MCv7	positive	negative
217	Esta inversión en pauta publicitaria que puede ser decisiva en el momento de las elecciones y que pueda variar resultados se hace bajo la mirada complice de @GoogleColombia que a nivel global tiene políticas publicitarias que extrañamente no se siguen en Colombia.	negative	positive
225	Cucuteños petristas e Idiotas Útiles para Venezuela... ???? #fico #petro #FueraPetro #fueraextremaizquierda #Colombia #Elecciones https://t.co/2KKVPTzaVU	negative	positive
228	La. Justicia en colombia es una mierda. El registrador va a torcer las elecciones. Donde esta el presidente par aq suspendan. Retiren del cargo a ese perro https://t.co/l3ofo0FE2l	negative	positive
231	"El Partido Castigador ??
https://t.co/ceTkao1YtO"	negative	positive
238	@InvisiblesMuros @YitaLaVey Y suele e incrementarse justo antyde las elecciones democráticas en #Colombia crean un populismo punitivo	negative	positive
241	"Esto está imparable!
 #ProgresistaSigueProgresista , #SúmateAlCambio , #YaLlegaElCambio .
Sigamos sumando y logremos transformar a Colombia con Petro y Francia! A ganar las elecciones en primera vuelta! Sígueme y te sigo!"	positive	negative
245	@ELTIEMPO Que lo diga antes de las elecciones en Colombia. Eso es un delito, claro que con estas cortes en Colombia vendidas a la izquierda todo es posible	negative	positive
249	@IvanDuque Quien  da vía libre a paramilitares para sitiar a Colombia y y afectar elecciones @ONUHumanRights @MisionONUCol @Declaracion @RIDH_INHR @CorteIDH @OACNUDH https://t.co/fZ2yFvjIwY	negative	positive
250	"Lo que dicen los candidatos presidenciales sobre el paro armado del Clan del Golfo.

https://t.co/uodCqXLivs https://t.co/ke7y5x6KYY"	positive	negative
254	"@bpmacias @PaulaBayarte @InesAmarelo @JavierCBugarin @carlasamon ???? Un posible atentado contra el candidato Gustavo Petro preocupa a Colombia a tres semanas de las elecciones. ??

https://t.co/u7OwKlgtiA https://t.co/4vI8OFEnwS"	negative	positive
255	@ElDelMedallo @teffygiraldo06 Y va subiendo la tasa de asesinatos en Colombia, con el nuevo terrorismo pre elecciones. ¡NO SON BUENOS DÍAS!	negative	positive
256	"¡Está Joya está disponible en Netflix! 

*Ojalá Colombia la vea antes de las elecciones. #LaDictaduraPerfecta 

La televisión ya puso un presidente... ¿Lo volverá hacer? #ColombiaDecide https://t.co/jrnNjKSeJR"	positive	negative
257	La. Justicia en colombia es una mierda. El registrador va a torcer las elecciones. Donde esta el presidente par aq suspendan. Retiren del cargo a ese perro https://t.co/l3ofo0FE2l	negative	positive
266	O sea que el  miserable de Macías reconoce que en Colombia es Fácil robar elecciones. Bellaco.	negative	positive
268	Ya nos habían dicho que iban a ser una de las elecciones más violentas de Colombia. Duele el país. #ParoArmado https://t.co/XKULPQogXr	negative	positive
271	"¿Cómo ha votado el país en los últimos 28 años? ¿Podemos hablar de un sistema político caudillista? A menos de 30 días de las #Elecciones2022 hicimos un análisis del comportamiento electoral de los colombianos. Esto encontramos??https://t.co/tVxPTMLkC2
#ContenidoPremiumEE"	negative	positive
277	@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Si la Dra Cabello no se pronuncia y no aparta al Registrador y se roban las elecciones como las del congreso,, va tener culpabilidad porque hay pruebas suficientes,, y la corte que lo eligió también es cómplice si no se pronuncian y lo apartan del cargo, eviten algo peor,????????????	positive	negative
278	"No sabe por quién votar el próximo 29 de mayo, vea está buena herramienta de @elespectador @fundacionFESCOL  y @cifrasyconcepto  Clave una vez haga ""match"" entre y conozca más de su posible candidato.  https://t.co/sjy3HgovbL"	positive	negative
280	@tinagus2000 Evidentemente la persecución judicial, la aceleración de cosas, las trabas del @cnegobec para la inscripción , el viaje de la fiscal a Colombia y el papel de otras instituciones influyeron en la victoria de Lasso. Al otro candidato lo desgastaron, mucha antes de las elecciones.	positive	negative
281	¿Preparados para la guerra civil que se nos viene si la @Registraduria, el @CNE_COLOMBIA, y el @consejodeestado se roban las elecciones?	negative	positive
287	Una vez más, en la plaza Alfonso López ,tal como se había planeado ,la tarde de este viernes 6 de Mayo ,llegó a Valledupar @petrogustavo Máximo candidato a vencer en las próximas elecciones a la presidencia por Colombia. https://t.co/YYpzUWPN1C	positive	negative
289	#6May | El izquierdista Gustavo Petro, uno de los favoritos para las elecciones presidenciales de Colombia que se celebrarán a finales de mes, dijo que de resultar ganador, reanudará las relaciones con Venezuela, rotas desde el 23 de febrero de 2019. https://t.co/kwuU5ZjHa2	negative	positive
292	@condeza6 @Gonzalo00333993 @Pura_Miel @Registraduria @CNE_COLOMBIA @moecolombia @PGN_COL Coño que porquería de país , acaso la procuradora se revolcó con el registrador y le tomo fotos y videos que la tiene chantajeada o que , que carajos es lo que esa vieja está esperando que se forme un mierdero el día de las elecciones?	positive	negative
294	"¿Qué es la Ley de Garantías y por qué la Corte Constitucional tumbó su reforma?

https://t.co/qRNy77hLm6"	positive	negative
300	@CARLOSFMEJIA @marwhite01 @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Exigimos se suspenda elecciones para primera vuelta, hasta no se esclarecer como ocurrió el MEGA-FRAUDE en las elecciones a senado y cámara donde 300.000 jurados,CNE y el registrador TIBISAY VEGA  le validaron por arte de magia 1.500.000 votos al PACTO DE LA PICOTA @petrogustavo	positive	negative
302	¿Cómo lucían los demás tarjetones? ??¿Cree usted que se evidencia el cambio de un bipartidismo a un sistema de caudillos? https://t.co/7jcyCwQuni	negative	positive
305	"#LoMásLeído en Política: Los votos que se necesitan para ganar la Presidencia en la primera vuelta. https://t.co/0bFRvQvtBG

#Elecciones2022 https://t.co/s1wTYyxS4d"	positive	negative
307	"@NHolhuin @alezandrazam72 Modelo de Tutela que busca dar ""Tranquilidad"" Para las Elecciones Presidenciales del #29Mayo 2022 en #Colombia 
https://t.co/DRb5uWlUa3"	positive	negative
309	"¡Viva Petro!
Colombia | Petro anuncia que si gana restablecerá las relaciones diplomáticas y consulares con Venezuela @InfoNodal https://t.co/VjYoQsWoY1"	positive	negative
310	@MONYRODRIGUEZOF por que no pide la renuncia del registrador después del fraude que cometió en las elecciones? o por que no pide la renuncia del KK’s frente a las visitas de la picota, compra de votos o infiltraciones de la campaña? Celebra usted la corrupción y ataca quienes defienden Colombia	negative	positive
311	Hace 4 años el mundo destacaba que en Colombia transcurrían las elecciones más pacificas en medio siglo. Hoy tenemos un candidato amenazado, un presidente y el comandante del ejército controvirtiendo en público con ese candidato y un paro armado en algunas regiones. Retrocedimos	negative	positive
312	"El pedido que le hizo la Conferencia Episcopal a los candidatos presidenciales.

https://t.co/ODJYR5Pk6u https://t.co/lgKq03wQma"	positive	negative
313	@NTN24 se siente el sesgo de parte del CNE,por parte de ese magistrado además dice que está investigando pero están es ganando tiempo a que pasen las elecciones no están pensando para nada en Colombia.	negative	positive
317	@JulianFMartinez @IvanDuque @DNP_Colombia Por ahí escuché que no van a comprar votos sino que que van a pagar por retener las cédulas hasta después de las elecciones	negative	positive
320	"????? La reprensión a la sociedad, manifiesta un gobierno que se ve amenazado y con poca capacidad de negociación y respuesta institucional. Más en revista #CienDías 104 ???? https://t.co/d2YUoyQ8k6

?? @infopresidencia https://t.co/ZonY8FcHEm"	negative	positive
321	@CGurisattiNTN24 El senador de Colombia en EEUUtiene toda la razón sino tienen gente preparada para las elecciones nos van a robar la libertad en primera vuelta	negative	positive
326	Sobre lo de RCN y el Ing… me cuesta pensar que este país me lleve a vivir el dicho de “piensa mal y acertarás” con todo el Histórico de la política, pero, seré la única con la duda de si en verdad fue matoneo o estrategia? 20 días antes de elecciones? Casualidades en Colombia?	negative	positive
327	En este momento en colombia estamos viviendo un terrorismo de estado asusado por matarife y sus secuases como parte de la estrategia de dañar las elecciones https://t.co/Gys3ceyEYs	negative	positive
331	Bueno colombia entonces nos vamos a calar al registrador Alexander Vega en las elecciones presidenciales porque a él no le da la gana de renunciar ni los hijueputas poderes de control le piden la renuncia	negative	positive
333	Haga “match” con la elección presidencial | EL ESPECTADOR https://t.co/LD3WviiaEz	positive	negative
334	"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/VTL37dV7CD"	positive	negative
342	Lo he analizado toda la mañana y verdaderamente la época de elecciones en Colombia es TERRORÍFICA.	negative	positive
343	Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia https://t.co/l70pcQRXYC	positive	negative
344	"En los consulados de Colombia en el exterior se adelantan las pruebas de funcionalidad para las elecciones de presidente y vicepresidente de la república. En el país, la Registraduría Nacional alista los simulacros para los comicios del 29 de mayo.

#GarantesDeLaDemocracia https://t.co/7NOQaPod0z"	positive	negative
347	"Aprovechando la coyuntura del PARO ARMADO en Colombia, voy a hacer la siguiente encuesta sin artimañas de formulación.

Tu experiencia personal de las elecciones es:

A) Un proceso libre y democrático de deliberación racional
B) Un ABSURDO"	negative	positive
351	@PGuillermoSerra Por Colombia para que Dios tenga misericordia de nosotros y nos salve del socialismo en estas elecciones presidenciales	negative	positive
362	FRAUDE DE LA IZQUIERDA EN COLOMBIA ANULA  LAS ELECCIONES https://t.co/i7vjkTZFZx	negative	positive
363	??ALERTA COLOMBIA??Si de verdad quieres hacer parte de la historia y participar activamente en estas elecciones. VINCÚLATE Como TESTIGO ELECTORAL Contribuye a que los COMUNISTAS En Colombia y el mundo nos no vuelvan a cometer fraude electoral.Inscríbete vigílalos y no nos dejemos	positive	negative
369	"Hoy amanece colombia secuestrada y sitiada por los amigos de un candidato que lleva las politicas de un expresidente durante los ultimos años y tiene a un pais en jaque!
Tenemos la posibilidad de salvar a colombia en estas elecciones 2022.
Tenemos el derecho al cambio y a la paz https://t.co/gf6MHsLrkc"	positive	negative
370	"@lauraro Yo vote por el NO y hoy siento que nos podría pasar lo mismo con las próximas elecciones si no actuamos unidos!!
Dejemos el odio irracional, aquí se trata es de salvar el presente y futuro de Colombia!
Quien más se une??"	positive	negative
373	"????El asesino y terrorista @AlvaroUribeVel  
A poco de las elecciones infunden terror en el #colombia como arma política en campaña, #ParoArmado el discurso del miedo para mantenerse en el poder por medio de su títere @FicoGutierrez"	negative	positive
375	"El 29 de mayo, serán 
Las Elecciones en Colombia. https://t.co/k01o3i9ero"	positive	negative
376	El izquierdista Gustavo Petro lidera encuestas de cara a las presidenciales en Colombia https://t.co/tpk8aLcoE3 via @France24_es	negative	positive
377	"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/FiJfeEuXCa"	positive	negative
379	Rodolfo Hernández: “Fajardo como que ya pasó a la historia” https://t.co/46LHuywOBq	positive	negative
380	@ambar_ponte @DiegoFi27933574 @brisa7766433br1 @PGN_COL @moecolombia @CNE_COLOMBIA ADELANTE CON LA TUTELATÓN. QUIEN SE APUNTA??' ...ALLI GANAMOS, LOS BUENOS, QUE SOMOS MAS; FRENTE AL #PACTOVEGAPETRO PARA ROBARSE LAS ELECCIONES. SOMOS MAS UNIDOS https://t.co/KpcXgLOFOJ	positive	negative
381	@lcvelez #ElRiesgoEs que TibisayVega en la @Registraduria y @CNE_COLOMBIA vayan a robarse las elecciones nuevamente y que @IvanDuque, @FiscaliaCol y @PGN_COL no hagan  un ??	negative	positive
384	@ozuismysenpai Pillá https://t.co/fnZFeKA3fz	positive	negative
385	"AGUSTÍN LAJE HABLA SOBRE LAS ELECCIONES EN COLOMBIA.
""En primera vuelta voten por el mejor""
https://t.co/POHxAx6nVv"	positive	negative
394	En Colombia hace falta un presidente como @nayibbukele que no le teme a nada y va de frente contra las fuerzas oscuras aliadas con políticos que lo único que buscas es inestabilidad en el país previo a elecciones.	positive	negative
396	"Una de las cosas más me impactó de realizar este especial fue descubrir que a menos de un mes de las elecciones aún hay candidatos que no han presentado un plan de gobierno ??

Averigua quiénes en @dpl_news ??
 
https://t.co/dm0lm5YnlH"	negative	positive
401	@RenataSokolov A ustedes, la derecha, buscando alterar el orden público para suspender elecciones y perpetuar el régimen de terror que pretende amedrentarnos...pero Colombia dijo no más y con Petro ganaremos en primera vuelta.	positive	negative
405	En la Video Columna de La Conversa, este sábado 8:00 p.m.,  análisis sobre la actualidad política y social de Colombia, a escasos días de elecciones presidenciales. https://t.co/DcJRYFli9t	positive	negative
409	"Tres semanas para unas elecciones claves en Colombia: @petrogustavo encabeza las encuestas, el lunes denunció un plan para asesinarlo. En segundo lugar está Gutiérrez, aliado al uribismo, que busca llegar al balotaje. El análisis para @CarasyCaretasuy. 

https://t.co/HDd8ACTHI6"	positive	negative
410	@CGurisattiNTN24 El senador de Colombia en EEUUtiene toda la razón sino tienen gente preparada para las elecciones nos van a robar la libertad en primera vuelta	negative	positive
415	@correawilly @CNE_COLOMBIA Leído los documentos provenientes de cada circunscripción territorial y de la internacional, se declaró el resultado de la Cámara por circunscripción internacional y se recibieron más de 1000 solicitudes y reclamaciones respecto de elecciones de Senado y Cámaras étnicas, …	positive	negative
417	"Colombia está siendo agitada sutilmente mientras se acercan las elecciones. ???? parece resistirle al comunismo, la izquierda sin el poder hace estragos, mientras algunos duermen otros no lo pueden hacer por la violencia. Da angustia ver notícias. 

¿Conmoción Interior?...."	negative	positive
