	full_text	actual	predicted
73	El candidato a la Presidencia de Colombia por el Pacto Histórico, Gustavo Petro, anunció este viernes que retomará las relaciones diplomáticas con Venezuela si gana las elecciones y llega a la jefatura del Estado, informó el periódico local El Tiempo. (RT) https://t.co/AKl1lblBuO	positive	negative
75	"El Partido Castigador ??
https://t.co/ceTkao1YtO"	negative	positive
82	Se iniciaron los simulacros de las elecciones de presidente 2022 https://t.co/07SWb8GAT1  / @Registraduria	positive	negative
85	A pocas semanas de las elecciones presidenciales en Colombia, el internacionalista argentino Juan Pablo de María dialogó con GPS Internacional para analizar las perspectivas en torno a las implicaciones de una eventual victoria de Petro para la integración latinoamericana.	positive	negative
86	"@lauraro Yo vote por el NO y hoy siento que nos podría pasar lo mismo con las próximas elecciones si no actuamos unidos!!
Dejemos el odio irracional, aquí se trata es de salvar el presente y futuro de Colombia!
Quien más se une??"	positive	negative
87	"El candidato a la Presidencia de Colombia Gustavo Petro promete restablecer las relaciones con Venezuela si gana las elecciones y llega a la Presidencia.

https://t.co/XM8QX8IaLk"	negative	positive
88	"AGUSTÍN LAJE HABLA SOBRE LAS ELECCIONES EN COLOMBIA.
""En primera vuelta voten por el mejor""
https://t.co/POHxAx6nVv"	positive	negative
90	"@bpmacias @PaulaBayarte @InesAmarelo @JavierCBugarin @carlasamon ???? Un posible atentado contra el candidato Gustavo Petro preocupa a Colombia a tres semanas de las elecciones. ??

https://t.co/u7OwKlgtiA https://t.co/4vI8OFEnwS"	negative	positive
91	"#ColombiaDecide | Petro sobre arremetida de Clan del Golfo: “Quien mataron en Sucre es militante del Pacto Histórico”. 

El candidato habló al respecto durante acto de campaña en Valledupar https://t.co/o16oE6dF2C"	negative	positive
93	@_21jordig @petrogustavo @FranciaMarquezM @petrogustavo y @FranciaMarquezM presidente y vicepresidente de Colombia. Elecciones 2022.	positive	negative
99	Sudamérica quiere cambios en paz; ojalá se respete la voluntad de los pueblos de la Patria Grande =&gt; Colombia | Petro anuncia que si gana restablecerá las relaciones diplomáticas y consulares con Venezuela - NODAL https://t.co/VGVSbMghEb	positive	negative
100	La izquierda se dedicó A proteger cuanto criminal aparezca. Sí la izquierda extrema como la de Petro Gana Las elecciones será la criminalidad la que gobierne A colombia desde ése momento.	positive	negative
101	"#ColombiaMiElección Bajo el lema: “¡Liberemos a Colombia de las maquinarias y la corrupción!”, la aspirante a la presidencia, Ingrid Betancourt, presentó las líneas estratégicas del plan de gobierno.

https://t.co/j8H8rcwrmW"	positive	negative
104	Procuraduría alerta que 2.925 jurados de votación están inhabilitados para elecciones Colombia via @ElColombiano https://t.co/lCdwAtuKoM	negative	positive
108	"Señores. @PGN_COL

El país reclama elecciones transparentes en primera vuelta presidencial el 29 de mayo.

Opinión. @PGN_COL @CNE_COLOMBIA @moecolombia https://t.co/ceSkMa0f3W"	positive	negative
111	"¿Vamos a terminar en que para subirse al Metro de Medellín, al bus de Envigado, al Transmetro de Barranquilla o al avión de Avianca habrá que demostrar el voto por alias ""Fico""?

https://t.co/f7CDOrUAEd"	negative	positive
116	"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/FiJfeEuXCa"	negative	positive
130	"¿Cómo ha votado el país en los últimos 28 años? ¿Podemos hablar de un sistema político caudillista? A menos de 30 días de las #Elecciones2022 hicimos un análisis del comportamiento electoral de los colombianos. Esto encontramos??https://t.co/tVxPTMLkC2
#ContenidoPremiumEE"	negative	positive
131	#DiloConIndignación: ¿Para qué sirve el control previo y concomitante de la @CGR_Colombia? Estamos a 20 días de las elecciones y ya todos los contratos y dinero fueron entregados. ¿Qué va a pasar con esos recursos? Como ciudadanos tenemos que despertar, se ríen en nuestra cara. https://t.co/p2CP7sI0Sj	negative	positive
135	@DianiSierraG @RHpresidente @ingrodolfohdez Se acercan las elecciones del 29 y cada vez nos convencemos más que el mejor candidato para manejar las riendas de Colombia es el Ing. RODOLFO HERNANDEZ https://t.co/GxDWZ8zITM	positive	negative
137	"#Marbelle tendría pensado irse de Colombia si #GustavoPetro gana las elecciones presidenciales

#EsTrending  

https://t.co/ICfHo1us76"	positive	negative
138	"""Lo que está viviendo Latinoamérica, cortesías de los procesos del Foro de Sao Paulo, se va poniendo realmente delicado. Hay que estar pendiente de lo que sucede en Chile y Perú, previo a las elecciones de Colombia."" @Noelleal"	positive	negative
143	@CoronelBillKil1 El tipo más demócrata de Colombia es Petro. No solo le robaron las elecciones de hace 4 años ,sino que el estamento no se ha encargado sino de perseguirlo con sanciones y faltas investigaciones. Todo lo ha ganado Petro	positive	negative
144	@_RoqueCastro Roque visualiza tu candidato ganador,visualiza la victoria de COLOMBIA. No declaren a ese hombre ganador. Trabajen su localidad Colombia está a Tiempo de salvar su pellejo y bueno toca trabajar duro..en estos días que quedan para las elecciones. ????????	positive	negative
147	"??ESTE ES EL NÚMERO UNO EN LA @Registraduria CUMPLIENDO
CON LA “MISIÓN” y “VISIÓN”DE
NEGOCIAR RESULTADOS EN LAS
ELECCIONES DE COLOMBIA?? https://t.co/dpErXAOzS1 https://t.co/OvRAyhSRG8"	positive	negative
148	"#ElRiesgoEs  ????
???
1.- permitir que llegue al poder el comunismo y el socialismo del siglo XXI.
2.- no votar en conciencia.
3.- la compra de conciencias débiles… muy débiles.?

#Colombia #Medellín #Elecciones #Política @LaFM @darcyquinnr @lcvelez @FicoGutierrez @ifmnoticias"	negative	positive
149	"Les comparto publicación de mi artículo ""Elecciones Colombia 2022""en la Revista Argentina de Derecho Electoral. 
https://t.co/Ntm0DuF9Pc https://t.co/6sB6OXjzaA"	positive	negative
152	¿Cómo lucían los demás tarjetones? ??¿Cree usted que se evidencia el cambio de un bipartidismo a un sistema de caudillos? https://t.co/7jcyCwQuni	negative	positive
167	"LAS FARC se van de frente con #GustavoPetro. 
Y decían que Juan Manuel Santos no había negociado el país con las FARC. Ahí están, a punto de quedarse con él. Tan linda que es Colombia pero si no la defendemos en estas elecciones la perderemos para siempre. https://t.co/ijkgDmdxiD"	positive	negative
170	"?? Nueva Encuesta para la opinión pública en General:

?? Quedan menos de 95 días para Celebrar las Elecciones Presidenciales en Colombia.
La pregunta del Día?

?? Quien Cree Usted que Gane las Elecciones Presidenciales de la República de ?????

Vota y Reetwitea."	positive	negative
177	@ambar_ponte @DiegoFi27933574 @brisa7766433br1 @PGN_COL @moecolombia @CNE_COLOMBIA ADELANTE CON LA TUTELATÓN. QUIEN SE APUNTA??' ...ALLI GANAMOS, LOS BUENOS, QUE SOMOS MAS; FRENTE AL #PACTOVEGAPETRO PARA ROBARSE LAS ELECCIONES. SOMOS MAS UNIDOS https://t.co/KpcXgLOFOJ	positive	negative
180	"¡Viva Petro!
Colombia | Petro anuncia que si gana restablecerá las relaciones diplomáticas y consulares con Venezuela @InfoNodal https://t.co/VjYoQsWoY1"	positive	negative
183	@MariaFdaCabal y para distraer de las elecciones dónde Colombia eligió ya Presidente 2022-2026 @FicoGutierrez https://t.co/3fcppGX1EY	positive	negative
187	En Colombia con las elecciones	positive	negative
191	#ElRiesgoEs perder la senda de crecimiento por la que va Colombia después de elecciones. El FMI, el Banco de la República y el Banco Mundial proyectan que nuestra economía sea una de las que más crezca en la región este año. Hay que cuidar la inversión y la productividad del pais	positive	negative
198	@CCSILVA86 @jlreales @Lolita_Celedon @petrogustavo Quien llena, llena antes, durante o despues del festival, eso no es nuevo para la campaña de Petro quien vienes desde las elecciones pasadas llenando plazas en toda Colombia.	positive	negative
201	@_21jordig @petrogustavo @FranciaMarquezM @petrogustavo y @FranciaMarquezM presidente y vicepresidente de Colombia. Elecciones 2022.	positive	negative
213	@RenataSokolov A ustedes, la derecha, buscando alterar el orden público para suspender elecciones y perpetuar el régimen de terror que pretende amedrentarnos...pero Colombia dijo no más y con Petro ganaremos en primera vuelta.	positive	negative
225	Willian Malkun ganó elecciones a rectoría de la UniCartagena https://t.co/MDWRzjblpu #CartagenadeIndias #Bolívar #Universidadespúblicas #Colombia https://t.co/6u4RQyNBKj	positive	negative
231	"#ColombiaDecide | Federico Gutiérrez desde Riohacha: Hay quienes “negocian con corruptos en las cárceles”

https://t.co/IM628eMlaR"	negative	positive
238	"#Mundo Gustavo Petro, candidato presidencial de Colombia, ratificó que de salir victorioso en las elecciones del 29May retomará las relaciones con Venezuela.

La propuesta fue aplaudida por sus seguidores. ""Es lo más recomendable"" para esta región latinoamericana, dijo. #6Mayo https://t.co/OmS5zk5lcd"	negative	positive
240	Colombia | Petro anuncia que si gana restablecerá las relaciones diplomáticas y consulares con Venezuela @InfoNodal https://t.co/X5FawyQTTi	positive	negative
243	"Tres semanas para unas elecciones claves en Colombia: @petrogustavo encabeza las encuestas, el lunes denunció un plan para asesinarlo. En segundo lugar está Gutiérrez, aliado al uribismo, que busca llegar al balotaje. El análisis para @CarasyCaretasuy. 

https://t.co/HDd8ACTHI6"	positive	negative
244	"#Política #Colombia | Uno de los vehículos portaba en su parabrisas un distintivo que lo identificaba como parte de la Alcaldía de Medellín.
https://t.co/LDYchqsr08"	positive	negative
245	@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Deberían hacer traslados de los REGISTRADORES  REGIONALES LOCALES . Evitar que se queden en los mismos sitios de las elecciones para congreso y consulta.	positive	negative
253	Esto está increíble. Saca la conversación de los personalismos y pone el debate sobre las ideas y la afinidad ideológica, gente. Entrénle a este match político de @fundacionFESCOL. Espectacular @Saruy ???????????????? https://t.co/0tyZdteu0Z	negative	positive
255	@RevistaSemana El tema es que quién lo dice, es el mayor delincuente de la historia de Colombia, ¿Cómo le van a robar elecciones al líder de la corrupción en Colombia?	negative	positive
256	@JulianFMartinez @DNP_Colombia @aleboterob Estaban esperando el momento preciso. Las elecciones.	positive	negative
258	"¿Enserio?, Es que en Colombia no hay democracia ahora no puede un conservador apoyar a @petrogustavo ¿o que pasa?
https://t.co/ZCVgxM4Kti"	negative	positive
259	En #QuímicaEnLaFórmula, la candidata Ingrid Betancourt contó qué tanto sabe de su fórmula, en el camino a la Presidencia de Colombia ?? https://t.co/KTgkWN1G2H	positive	negative
261	"@jojojorge_ Aquí lo podés encontrar. 

https://t.co/GZQIklXmNZ"	positive	negative
267	@Registraduria @PGN_COL @CGR_Colombia @moecolombia Muy buenas garantias, dan el soporte de que quieren brindar un buen servicio y seguridad en las próximas elecciones, para que por fin todos los Colombianos se animen a ser parte de una nueva Colombia	positive	negative
270	INFORME ESPECIAL Elecciones presidenciales de Colombia, todo lo que necesita saber - https://t.co/xX9R0XEAqP https://t.co/OyOd9bGUIK	positive	negative
271	"Tanto la inclusión de la segunda vuelta como la apertura del sistema político a más partidos hizo que el tarjetón se poblara de casi una decena de candidatos por proceso. 

#ContenidoPremiumEE #Elecciones2022 
https://t.co/tVxPTMLkC2"	negative	positive
273	@condeza6 @Gonzalo00333993 @Pura_Miel @Registraduria @CNE_COLOMBIA @moecolombia @PGN_COL Coño que porquería de país , acaso la procuradora se revolcó con el registrador y le tomo fotos y videos que la tiene chantajeada o que , que carajos es lo que esa vieja está esperando que se forme un mierdero el día de las elecciones?	positive	negative
276	"@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Así es.
Es lo correcto.
Hacer bien las elecciones.
Esa es democracia."	positive	negative
292	Hoy en viernes de entrevista?? nuestro cofundador Carlos Jaramillo conversó con nosotros sobre emprendimiento, elecciones 2022 y consejos para los que quieren empezar su empresa en Colombia. Léela completa aquí ??https://t.co/uTedwy2rSf #blog #emprendedor #emprendimiento	positive	negative
301	Alertan que miles de jurados de votación están inhabilitados para estar en las elecciones a Presidente. La idoneidad de esos delincuentes no existe, toca inhabilitarlos y anular las mesas donde estuvieron y que se evidenció el fraude. ?@PGN_COL?  https://t.co/UcAISdFd05	negative	positive
310	Una vez más, en la plaza Alfonso López ,tal como se había planeado ,la tarde de este viernes 6 de Mayo ,llegó a Valledupar @petrogustavo Máximo candidato a vencer en las próximas elecciones a la presidencia por Colombia. https://t.co/YYpzUWPN1C	positive	negative
319	"#Colombia El Tribunal Administrativo de Cundinamarca lanzó duros cuestionamientos al funcionario y dejó la decisión en manos de la Procuraduría.
https://t.co/p10xZKLDMk"	positive	negative
322	Cucuteños petristas e Idiotas Útiles para Venezuela... ???? #fico #petro #FueraPetro #fueraextremaizquierda #Colombia #Elecciones https://t.co/2KKVPTzaVU	negative	positive
