	full_text	actual	predicted
30	@lcvelez @Karlaarcila @NoticiasRCN @rcnradio @NTN24 @lafm Lo grave y en contra de Colombia es q la @FiscaliaCol no actúe urgentemente ni la @PGN_COL y debe @FicoGutierrez actuar o nos van a robar las próximas elecciones y denuncias penales Para cuando ?	negative	positive
31	"@IvanDuque @SEGIBdigital @allamand @MoniPizani @CarlosBlascober @CumbreIberoA Bobohpta, deje de fingir que ya nadie

Ah, y sobese, ley de garantías? ?? La corte, te corto las alas, vete YA!! Has historia, el primer presidente de Colombia que huyo y entrego el cargo el día después de elecciones"	negative	positive
33	@CNE_COLOMBIA para risas: el CNE investiga al centro democrático x decirle la verdad a FEJODE  pero no ha tomado ninguna decisión con el fraude de las pasadas elecciones a pesar de q el registrador compró con nuestro dinero un software de INDRA de 27 mil millones, q no sirve.	negative	positive
35	"@CarlosA77174284 @lafm @Registraduria @CCongresoCol @PGN_COL @MinInterior Creo que estamos cerca muy cerca a una confrontación civil en Colombia....

Estas elecciones estarán viciadas y se viene lo peor xa este país.
Hay muchos intereses pagos a este bandido ""Registrador""."	negative	positive
37	"@DanielPalam @MinInterior @INPEC_Colombia @DanielPalam para cuando #TodaLaContundenciaContraLaCriminalidad en la @Registraduria ?
Cree q las elecciones #M29 con el #registradorcorrupto Alex Vega y con las denuncias @NoticiasRCN de lo que pasó en Marzo 13, estas no se las va a robar? 
Contundencia esperamos con esto."	negative	positive
38	#UribeDioLaOrden el viejo no quiere dejar en paz al país, hizo a colombia invivible para ganar las elecciones. #LaOrdenVieneDeArriba #LaOrdenVieneDeUribe	negative	positive
39	"""Los destinos de Colombia y de Venezuela van por la misma senda, hasta se parecen a sus gobernantes, porque no hay nada más parecido a Maduro en Colombia que Duque"", aseguró.
https://t.co/ajUujVFnF5"	negative	positive
41	Ojalá las elecciones en Colombia también se desarrollen en Paz. Pero hay territorios donde la guerra civil continua y hay presencia de Carteles de droga. El Ejército de Colombia es el responsable de garantizar condiciones a votantes	negative	positive
42	@Registraduria Por primera vez en la historia de elecciones en colombia el registrador mostró su afinidad política y favoreció al mejor postor! Que risa esos garantes, son los mismos que participan en las elecciones democráticas de venezuela y que siempre dan ganador a Maduro !	negative	positive
44	@Margaritarosadf Nos llevó el putas, aunque aquí en Colombia también estamos en guerra y como seguramente Petro gana las elecciones vamos a estar peor y sobra decir por obra de quién	negative	positive
47	"Si cometió crímenes los hizo en Colombia, que pague acá cómo van a poner el pueblo de cabezas por las bobadas de un gobierno corrupto, y a pocos días de elecciones presidenciales.
Ahora sí van a joder más el pueblo colombiano"	negative	positive
49	Y será que va a pasar lo mismo en las elecciones para presidente, quien responde, porque hasta ahora ni el presidente @IvanDuque ni la @PGN_COL han hecho nada para destituir a Vega @Registraduria de Colombia https://t.co/FHZYemnQhf	negative	positive
50	@MafeCarrascal Hola @MafeCarrascal que pena que nunca pudimos dialogar con usted sobre las elecciones en #Colombia. Ya encontraremos políticos que quieran hablar para la comunidad de colombianos en Ecuador que a sido siempre olvidada por el estado Colombiano.	negative	positive
51	Estas elecciones son la Colombia buena y decente con #Fico vs un grupo de delincuentes comandados por @petrogustavo , asi de sencillito papa!	negative	positive
52	Una vida digna y sin violencia, esa definición utópica del buen vivir no se ha visto JAMÁS en colombia;  ahora a días de las elecciones que podrían generar un verdadero CAMBIO aparece el malafortunado paro armado. Nos quedamos sin VERDAD y ahora con MIEDO. #ParoArmado #Otoniel	negative	positive
53	"@Pontifex_es Oro por su salud,  muy pronto va a estar bien Papa Francisco.
Desde Colombia ..sin elecciones libres.
.Estan coaccionadas por gobierno con ilegales."	negative	positive
54	"Colombia tiene hoy 2 amenazas públicas q @IvanDuque @Diego_Molano y @FuerzasMilCol NO PUEDEN IGNORAR.
1)El Clan del Golfo y sus testaferros políticos y mediáticos incendiando el país en las carreteras y en las redes
2)PETRO anunciando el ISIS COLOMBIANO si pierde las elecciones"	negative	positive
55	.@odonnellmaria y @ertenembaum entrevistan a Francia Márquez, candidata a vicepresidenta en la fórmula de Gustavo Petro para las elecciones presidenciales de Colombia. La cita, este sábado a las 9 P.M. (Miami), 10 P.M. (Buenos Aires) en #Conecta2 https://t.co/oB0KwVMmkn	positive	negative
56	@vechajol @fredyparada90 @petrogustavo @FicoGutierrez @Rodrigo_LaraS El régimen no permite a alguien diferente les quite el poder, en las elecciones pasadas le robaron las elecciones, pobre Colombia en manos de MATARIFE	negative	positive
58	"Eso le pasa a @sergio_fajardo
por coqueteos con el viejito populista y ""presuntamente"" corrupto..  
https://t.co/O4oszWzKLW"	negative	positive
59	@FicoGutierrez @DANE_Colombia Usted que sabe de finanzas? Ya Uribe le escribió lo que tenia que decir, cállese más bien y no escriba pendejadas, el país está ardiendo por órdenes del matarife para boicotear las elecciones y Usted hablando estupideces de las cuales no tiene ni idea. Usted no está apto	negative	positive
61	@AlvaroUribeVel Ud y el gobierno son los dueños del paro armado! Colombia ya no les cree esas mañas que se inventan faltando medio mes para las elecciones para vender al Uribismo como los bienaventurados dadores de seguridad democratica! #OjoConEl2022 #OjoConElVoto	negative	positive
63	"@PDleh @cokycafe @PGN_COL En Colombia existen miles de leyes para controlar los funcionarios públicos pero a la hora de aplicarlas ""se les olvida que existen"". ¿Que más pruebas quieren? ¿Porque avalan unas elecciones, las del 13 de marzo, donde pado de todo lo que no debía de pasar? Escuchamos  respuestas"	negative	positive
64	"Pese a aproximarse las elecciones presidenciales en #Colombia, la violencia sigue en aumento y está vez acabó con la vida de un militante campesino del Pacto Histórico, quien fue asesinado en el departamento de Sucre. 
https://t.co/hBj2dAdLDE
 vía @Agencia_VN https://t.co/WgaZLzY2hW"	negative	positive
65	@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Hace 4 años un perro rabioso se robó las elecciones	negative	positive
70	@NilsonJavierB @eliecer_e @CNE_COLOMBIA @moecolombia @DELAESPRIELLAE @AndresPastrana_ @PalomaValenciaL @RevistaSemana @CConstitucional @CorteSupremaJ @DefensoriaCol @USEmbassyBogota @felipesancheztv @consejodeestado Vega lo que debe es ir preso y anulación de esas elecciones.	negative	positive
71	Senador da por sentado que se comete un flagrante  fraude en algo tan crítico para el futuro de Colombia como las elecciones del Congreso y no se puede hacer nada? Solo están ustedes para hablar legislar No deben dignificar, hacer respetar el Legislativo y defender la PatriaO NO? https://t.co/9beqop9fPU	negative	positive
72	@MonederoJC A @petrogustavo lo quieren asesinar porque será el ganador de las elecciones presidenciales en Colombia.	negative	positive
76	"@Rettador @petrogustavo @Registraduria @PactoHistorico SI COLOMBIA QUIERE TENER UNAS ELECCIONES DIÁFANAS LIMPIAS Y TRANSPARENTES 
DEBE RETIRAR ESE REGISTRADOR Y TERMINAR EL NEFASTO CONTRATO CON INDRA 
O SE PIERDE LA DEMOCRACIA LA LIBERTADAD DE LOS COLOMBIANOS Y EL PAÍS. 
NO AL REGISTRADOR EN ELECCIONES PRESIDENCIALES."	negative	positive
77	Uribe y sus aliados siembran zozobra para suspender elecciones en colombia ???? https://t.co/wPM7Wft8bo	negative	positive
78	@WRadioColombia @ernestomaciast Este burro hablando de orejas, si el pacto histórico no actúa a tiempo se roban las elecciones, usted pertenece a la organización más criminal y corrupta que tiene Colombia.	negative	positive
80	Resulta inconcebible que el Congreso de Colombia apruebe reformas ilegales, y éstas pasen por oficinas jurídicas; el presidente (el más interesado) las apruebe y ejecute rápidamente, para poner todo a su favor en elecciones. Ahora, la Corte la revierte?	negative	positive
81	"@petrogustavo sus narco amigos vándalos están amenazando a los habitantes de Córdoba y Choco.
Colombianos si queremos salvar a Colombia de estos vándalos asesinos, debemos todos unirnos y en la elecciones derrotar definitivamente al peligro social llamado
PETRO EL MADURISTA"	negative	positive
86	Colombia depende de renuncia/destitución de Alexander Vega de @Registraduria, y de auditoría imparcial que contrate @CNE_COLOMBIA (que lo dudo), fraude ocurrido en pasadas elecciones es de registrarlo en historia de Colombia, estas 2 instituciones dejan mucho que pensar.	negative	positive
88	Deben ir presos los jurados electorales de la UP y Colombia Humana que hicieron fraude en las pasadas elecciones del congreso. Bandidos, iguales a todos los del pacto histórico.	negative	positive
89	Petro ahora es el Capitán América o mejor dicho el Capitán Colombia de ganar las elecciones. No soltara el escudo ni para dormir ?? https://t.co/k56Dv7id1J	negative	positive
90	Cómo que regañan? Ésto es inaudito, cómo no lo suspenden de su cargo? Yo no sé si es un inepto o un tramposo o las dos? No puede tener ese cargo para las presidenciales!!!!! https://t.co/hSGaqSukpR	negative	positive
91	La derecha Colombiana + época de elecciones = a terrorismo desatado, el país está hundido en un hoyo tan profundo que no se ve solución a nada. #colombia	negative	positive
92	"@smilelalis Y entonces @FiscaliaCol @PGN_COL @CNE_COLOMBIA 

En que clase de miserable y peligroso show se convirtieron nuestras elecciones?"	negative	positive
95	@magally_zapata Apoyo esa idea no podemos quedarnos quejadonos en Twitter mientras el registrador la izquierda esperan para robarse las elecciones Colombia, merece unas elecciones justas @PGN_COL moviliccemonos a las diferentes registraduria hasta q renuncie  registrador	negative	positive
97	@EEColombia2020 @JEP_Colombia Lo de la guerrilla que espere, estamos en elecciones y hay que impulsar al candidato guerrillero ( Petro) , todo los que sea falsos positivos , autodefensas y que sirva para ensuciar a Uribe injustamente hay que filtrarlo ya !!!!!	negative	positive
98	"@supershadai @Registraduria Quien o que institución en Colombia atiende los reclamos al fraude electoral?
Porque no suspender a al registrador que ya la defeco en las elecciones de senado y camara.
Hay una desconfianza general en cuanto a las presidenciales.
Están provocando una respuesta violenta."	negative	positive
99	Colombia no se merece otras elecciones con este registrador. https://t.co/rO1GcxxYzi	negative	positive
100	El Registrador Alexander Vega y el @CNE_COLOMBIA Insisten en meterle al pueblo colombiano el gol este 29 de mayo, están desesperados por entregarle el poder a la izquierda en Colombia. https://t.co/fPyKsxf40K	negative	positive
102	"@petrogustavo Quieren hacer arder a Colombia como sea...y sabotear las elecciones,se unío toda la mafia politico-paramilitar con sus medios de comunicación y sus generales golpistas,alrededor de su patrón,no podemos ceder,Colombia va por el  cambio!!
@petrogustavo PRESIDENTE!!"	negative	positive
103	"El Colombiano: Elecciones al mando de Vega tuvieron deficiencias que requieren correctivos: Tribunal tras negar su suspensión.
https://t.co/EBwpUU4GkD

a través de @GoogleNews"	negative	positive
105	#ParoArmado q afecta a Colombia en estos momentos es el abre bocas de lo q se viene con la lacra de Petro cuando pierda las elecciones.	negative	positive
107	"@jarizabaletaf Pasan los dias ahí está  @Registraduria con el Registrador Alexander Vega qué horror y la @PGN_COL NADA hace
a 15 días de las Elecciones 
Presidenciales.
A pesar Dr Todo Tengo la conviction qué @FicoGutierrez es nuestro próximo Presidente de Colombia 2.022-2026"	negative	positive
110	Los q apoyan a terroristas, bravos con RCN porq muestra a Colombia su verdadera cara siniestra. Es q la realidad hay q mostrarla, son asesinos que nos quieren gobernar https://t.co/SSyfXEHYXy	negative	positive
112	@lcvelez @lafm @NoticiasRCN @rcnradio @NTN24 si todos  en colombia estamos viendo el peligro para elecciones que representa la registraduria , por que los entes de control no lo ven ?	negative	positive
113	"Se acerca el día de las elecciones en #Colombia y como @petrogustavo ""El cacas"" sabe que no va pa'l baile entonces comienza a incendiar el país..."	negative	positive
115	@AABenedetti Pero son ustedes los que siembran el terror...Colombia entera los sabe y les cobrará duró en las elecciones próximas, saldrán como pega de guama de la actividad política...no habrá tolda qué lo reciba con su prontuario y él de sus amigotes.	negative	positive
116	"@smilelalis Y entonces @FiscaliaCol @PGN_COL @CNE_COLOMBIA 

En que clase de miserable y peligroso show se convirtieron nuestras elecciones?"	negative	positive
118	@SdrodriguezT PetroFarc está asustado porque sabe que el uribismo es una fuerza poderosa y ganaremos las elecciones, los bandidos mafiosos del Pacto de la Picota , jamás tendrán el poder, acabarían con Colombia .	negative	positive
119	@lcvelez El mayor riesgo en las elecciones está en la misma  @Registraduria el @CNE_COLOMBIA los jurados, los supuestos delegados internacionales  que trajeron a favor de ellos, y de remate la misma Registraduria descarada haciéndole campaña a los que ofrecen el supuesto cambio ??????? https://t.co/Xghmj77P1S	negative	positive
120	A caso en Colombia hay Procuraduría? O si existe está sin cabeza? Las elecciones al Congreso fueron un fraude, hay que anularlas y repetirlas; hay que cerrar el CNE y sacar a todos en la Registraduría, la mayoría para una CARCEL https://t.co/wSfZAJfJcX	negative	positive
121	@CARLOSFMEJIA @LuzElenaGuzma13 @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA ADELANTE CON LA TUTELATÓN. QUIEN SE APUNTA??' ...ALLI GANAMOS, LOS BUENOS, QUE SOMOS MAS; FRENTE AL #PACTOVEGAPETRO PARA ROBARSE LAS ELECCIONES. SOMOS MAS UNIDOS https://t.co/KpcXgLOFOJ	negative	positive
123	"@AlvaroUribeVel Terrorismo es lo que ud @AlvaroUribeVel ha sembrado en Colombia.
Desde su ascenso como mafioso hasta comprar dos elecciones como presidente.
Eso sí es verdadero terror
6402 recuerdelo esas veces hasta que le llegue la hora de la justicia."	negative	positive
124	"Viví de cerca el CAMBIO de Venezuela.

Fue el pais más rico de América Latina, hoy su economía está destruida.

A punta de decretos acaban connlas empresas  y la que sobrevive la expropian.

Colombia es anticomunista y lo demostraremos en las próximas elecciones."	negative	positive
125	Álvaro Uribe publica video de bus quemado y afirma que esas son las “enseñanzas de Petro y Santos” https://t.co/elo1Lwwcgo	negative	positive
126	@FicoGutierrez Señores quien creo la AUC en colombia. Ahora se les salieron de las manos o es simplemente una estrategia para ganar las elecciones creando el caso en el país y echándole las culpas a otros. De verdad que somos un país donde todo lo olvidamos por eso estamos como estamos.	negative	positive
127	"Que muestren un inventario de las múltiples obras a lo largo de Colombia con sus respectivos ""contratos"" y fechas de aprobación e iniciación para ver si concuerdan con la gigante emisión de mermelada del presidente Iván Duque antes de las elecciones
https://t.co/zq9GIbZzwz"	negative	positive
129	@ElDelMedallo @teffygiraldo06 Y va subiendo la tasa de asesinatos en Colombia, con el nuevo terrorismo pre elecciones. ¡NO SON BUENOS DÍAS!	negative	positive
132	@lcvelez El mayor riesgo en las elecciones está en la misma  @Registraduria el @CNE_COLOMBIA los jurados, los supuestos delegados internacionales  que trajeron a favor de ellos, y de remate la misma Registraduria descarada haciéndole campaña a los que ofrecen el supuesto cambio ??????? https://t.co/Xghmj77P1S	negative	positive
133	"@MariaFdaCabal Lo extraditaron rápido por dor razones señora Acabal.

La primera y para mí la más importante es porque Otoniel en Colombia dando sus testimonios respresenta un verdadero riesgo para las elecciones pues ya estaba diciendo muchos nombres de políticos."	negative	positive
134	No hay nada escrito hasta que esté mísero no salga de ahí, se sepa que títere van a poner y quién controlará elecciones y a los comunistas @CNE_COLOMBIA @fecode jurados y @moecolombia que no sirve para..........garante pero de los comunistas apátridas. https://t.co/BKqSY6slHN	negative	positive
137	#QuienRespondePor la afirmación de Sanchez Cristo de que Francia es la Vicepresidenta de Colombia ?. Hasta donde se las elecciones son el próximo 29. Que no te traicione tal facilmente el subconsciente	negative	positive
138	Es falso https://t.co/3Gs2X4ltyP	negative	positive
139	Buenos días! ...y entonces quienes entre las Cortes y congresistas (¿Quiénes fueron?) que armaron triquiñuelas para que el actual registrador llegara al cargo...menos se manifiestan a que lo revoquen...se acorta el tiempo  para las elecciones y él ahí campante! Peligra Colombia!	negative	positive
140	Se nos van a robar las elecciones ... Tibisay Vega no se va ?? y Colombia trinando, hay que hacer algo...	negative	positive
142	"El 29 de mayo hay elecciones presidenciales en Colombia.
Gustavo Petro, candidato de izquierda, va primero en las encuestas y debe dar sus discursos con chaleco antibalas y rodeado de escudos. Las parapoliciales y del narco quieren asesinarlo. Ya asesinaron a muchos dirigentes. https://t.co/Q7Z4r155OO"	negative	positive
144	¡Es indignante lo que ocurre en Colombia! Estamos ante un fraude electoral y nuestro registrador sigue en el cargo. #ElRiesgoEs no repetir las elecciones y tener un Congreso ilegítimo. https://t.co/lxMRgs9kPo	negative	positive
145	"Asesinado militante campesino del Pacto Histórico en Colombia

Pese a aproximarse las elecciones presidenciales en Colombia, la violencia sigue en aumento y está vez acabó con la vida de un militante campesino del Pacto Histórico

#JuventudDeportivaDeOro
https://t.co/ld4jfHeNCk https://t.co/Z75KVwQkH3"	negative	positive
147	Se nos robaran las elecciones en Colombia.	negative	positive
148	"La semana que pasó en Colombia estuvo marcada por la violencia. No es un momento cualquiera: faltan apenas tres semanas para las elecciones en las que Gustavo Petro puede consagrarse como presidente.

@Marco_Teruggi te lo cuenta en ??#CrisisEnElAire ??

https://t.co/HZK4j0f8St https://t.co/eAQZ5wsOHH"	negative	positive
150	@RevistaSemana Una pregunta seria, cada vez que hagamos elecciones en Colombia vamos a vivir este psicoterror de una parranda de bandoleros y delincuentes tratando de tomar el poder y terminar de joder  Colombia ?	negative	positive
152	Estas elecciones son la Colombia buena y decente con #Fico vs un grupo de delincuentes comandados por @petrogustavo , asi de sencillito papa!	negative	positive
153	1) COLOMBIA ELECCIONES 2022 ¿PUEDE HABER FRAUDE? 2) LA EXTRADICIÓN A NYC... https://t.co/FITOBhoZ2z via @YouTube	negative	positive
155	Alertan que miles de jurados de votación están inhabilitados para estar en las elecciones a Presidente. La idoneidad de esos delincuentes no existe, toca inhabilitarlos y anular las mesas donde estuvieron y que se evidenció el fraude. ?@PGN_COL?  https://t.co/UcAISdFd05	negative	positive
156	.@odonnellmaria y @ertenembaum entrevistan a Francia Márquez, candidata a vicepresidenta en la fórmula de Gustavo Petro para las elecciones presidenciales de Colombia. La cita, este sábado a las 9 P.M. (Miami), 10 P.M. (Buenos Aires) en #Conecta2 https://t.co/p93867hkre	positive	negative
159	Procuraduría alerta que 2.925 jurados de votación están inhabilitados para elecciones Colombia via @ElColombiano https://t.co/lCdwAtuKoM	negative	positive
163	"""Lo que está viviendo Latinoamérica, cortesías de los procesos del Foro de Sao Paulo, se va poniendo realmente delicado. Hay que estar pendiente de lo que sucede en Chile y Perú, previo a las elecciones de Colombia."" @Noelleal"	positive	negative
164	Esto está increíble. Saca la conversación de los personalismos y pone el debate sobre las ideas y la afinidad ideológica, gente. Entrénle a este match político de @fundacionFESCOL. Espectacular @Saruy ???????????????? https://t.co/0tyZdteu0Z	negative	positive
170	@LaNocheNTN24 @LuisGPerezCasas @CGurisattiNTN24 Bla bla bla … nos van a robar las elecciones de mayo . Ojo Colombia ???? no estoy de acuerdo con el fallo. No hay justicia	negative	positive
171	"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/FiJfeEuXCa"	positive	negative
173	En la era duque una era de violencia terrible su favoravilidad está en un 17% Q se reflejará este 29 de mayo creo que serán las elecciones más votadas de la historia de Colombia según lo que escucho votarán  ? personas que jamás en su vida an votado y creo Q será por el cambio	negative	positive
174	@Enrique_GomezM Hay que sacar al registrador y desbaratar lo que deben tener planeado para robarse las elecciones. Procuradora y fiscalía, está en sus manos salvar a Colombia de las garras del señor de las bolsas y sus malandros.	negative	positive
177	"#Colombia #Petro anuncia que reanudará las relaciones con Venezuela. Colombianos si queréis que el salario mínimo de Colombia baje a los 2 dólares al mes como en Venezuela, por debajo del umbral de pobreza (1,75 dólares/día) vuestro candidato es #Petro.
https://t.co/LpgzfWPvN7"	negative	positive
178	@nicolaspetroB @petrogustavo Los paramilirares si que son brutos ignorantes, ven como los ha traicionado el uribismo y siguen arranchados sin querer un cambio en Colombia! Esperemos que el día de las elecciones no amenazen a los colombianos! Maldito uribismo nos tiene jodidos!	negative	positive
183	@jarizabaletaf QUE NOS DIGA DE UNA VEZ QUIEN ES EL PRESIDENTE,,,Y ACABAMOS CON ESTA MAMERA DE ELECCIONES..! Y EMPEZAMOS A CAMINAR POR TODA COLOMBIA ENMOCHILADOS…..CON LOS VENEZOLANOS….!	negative	positive
184	@petrogustavo Pobre Colombia como gane usted las elecciones. Miseria trae siempre sus políticas, sin excepción.	negative	positive
186	"@petrogustavo #pactopicota nos más terrorismo Gustavo! no más asesinatos están acabando con Colombia, no sigan amenazando a las personas por el voto.
Las elecciones se ganan con propuestas reales, no con sangre."	negative	positive
187	Exigir elecciones limpias. No más fraude comunista y globalista. Yo denuncio el fraude que ya pasó y el que viene. Salvemos a Colombia. #GomezPresidente22-26 @MovSalvacionNal @jflafaurie @Enrique_GomezM @CarlosACuartasQ @MariaHerreraMe @isabelcuervo @valenciajorgea @LChileuitt https://t.co/1vslgRr5PC	negative	positive
188	"En Colombia los amigos de @AlvaroUribeVel haciendo de las suyas!
Recuerden que hace falta 23 días para las elecciones y necesitan vender el cuento de la seguridad democrática a sangre y fuego. https://t.co/Zr9BgNQys8"	negative	positive
189	"Duque resultó el personaje mas inútil y desvergonzado de la Historia de Colombia, y está tan caído que en estos 20 días que faltan pa elecciones, lo mas seguro es que el CD pase a la ""oposición"" y Uribe diga que no lo conoce ni ha tenido tratos con el ni por interpuesta persona."	negative	positive
190	?????? y se les llena la boca diciendo ...lleno total. Así viven, de fantasías! #fico #FueraPetro #fueraextremaizquierda  #petro #Colombia #Elecciones https://t.co/La0TI0hmqg	negative	positive
191	@PaulaAn26992616 @Gmo_Leal Hay que tener mucho cuidado con la sabandija del registrador, nos quiere democratizar las elecciones en nuestras propias narices, ojo Colombia votar masivamente desde temprano por Fico presidente	negative	positive
192	"#QuienRespondePor
Queman carro de @UNALOficial Universidad Nacional en Santa Fe de Antioquia. El @COL_EJERCITO y la @PoliciaColombia Se escondieron no Actúan Parece ser el excenario para una Guerra Civil y así evitar Elecciones Presidenciales en Colombia @bbcmundo https://t.co/SWEo3DvigS"	negative	positive
194	A 23 días de elecciones el Registrador Nacional un corrupto pegado y atornillado al poder, con este tipo que Colombia desconfía es seguro que nos van a robar las elecciones @Registraduria @CNE_COLOMBIA @moecolombia @IvanDuque presidente líbrenos de esta plaga la @PGN_COL no pudo	negative	positive
195	@WRadioColombia @ernestomaciast Siiii señor, a eso es que apunta su Federico y su uribismo .. pero no le van a robar las elecciones a Gustavo Petro Próximo presidente de Colombia en primera vuelta !!! ??????????	negative	positive
196	@LEO06076235 @waldoalarconho1 @CNE_COLOMBIA @Registraduria @PGN_COL @MiguelA00036444 @PAME3_02F @marco_caldono @HdoPinillaPatin @mariubenoit @Andres_S_Co Cómo quiera que sea van a colocar al delincuente ese, robándose las elecciones de una manera bien descarada cómo hicieron en Chile y en Perú. https://t.co/SdnOWbygg1	negative	positive
197	@MONYRODRIGUEZOF Piensan sabotear las elecciones, sospechoso si es a días de las elecciones y el ejército de Colombia nuestros héroes, brillan por su ausencia por algo será ...	negative	positive
198	Robar votos y elecciones parece ser lo que está de moda a nivel mundial y nadie es culpable. Veamos cómo le va a #Colombia	negative	positive
200	Los mapas de cada una de las elecciones desde 1994 hasta 2018 también son una muestra del debilitamiento del sistema partidista y el paso a un caudillismo que hasta los pasados comicios fue dominado por la figura de @AlvaroUribeVel. Puede verlos aquí. https://t.co/tVxPTMLkC2	negative	positive
203	@davoelbravo @CARLOSFMEJIA @el82ye78 @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Por qué cree que no hacen nada, por la sencilla razón que no hay nada, no existen evidencias, perdieron las elecciones.	negative	positive
204	"#QuienRespondePor la plata que regalaron en contratos escudándose en ""beneficiar a la Colombia profunda"" durante las elecciones? La misma Colombia a la que @karenabudi dejó sin conectividad. Quién responde por los 70 mil millones? No olvidemos nunca esta cifra."	negative	positive
205	"¿Enserio?, Es que en Colombia no hay democracia ahora no puede un conservador apoyar a @petrogustavo ¿o que pasa?
https://t.co/ZCVgxM4Kti"	negative	positive
209	@PGN_COL @RedMasNoticias @NoticiasCaracol @NoticiasRCN @elespectador @ElNuevoSiglo @AtlanticoEmi @larepublica_co @elheraldoco @RevistaSemana @BluRadioCo Y el Registrador sigue ahí tan campante???? Y las elecciones legislativas ?? Ay mucha evidencia y no pasa nada @PNG_COL, es una vergüenza una burla la justicia en Colombia es un ??????????????	negative	positive
214	@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Quédese calladito porque como se solicite un reconteo de las pasadas elecciones a la presidencia el Títere le va bien mal	negative	positive
216	"???? Después de todo el manto de dudas y fraudes de las pasadas elecciones en #Colombia, que confianza produce las votaciones del 29 de Mayo??
/RT"	negative	positive
